Datetime,Water Level (m)
2024-06-26 00:00:00,0.13094844
2024-06-26 01:00:00,0.14432217
2024-06-26 02:00:00,0.16072384
2024-06-26 03:00:00,0.17631234
2024-06-26 04:00:00,0.19081347
2024-06-26 05:00:00,0.20385167
2024-06-26 06:00:00,0.21566534
2024-06-26 07:00:00,0.2269542
2024-06-26 08:00:00,0.24055736
2024-06-26 09:00:00,0.2554059
2024-06-26 10:00:00,0.2677847
2024-06-26 11:00:00,0.28065744
2024-06-26 12:00:00,0.29817152
2024-06-26 13:00:00,0.32027337
2024-06-26 14:00:00,0.3466001
2024-06-26 15:00:00,0.3739917
2024-06-26 16:00:00,0.4046325
2024-06-26 17:00:00,0.4322891
2024-06-26 18:00:00,0.45650858
2024-06-26 19:00:00,0.47965515
2024-06-26 20:00:00,0.5015864
2024-06-26 21:00:00,0.51208305
2024-06-26 22:00:00,0.52406704
2024-06-26 23:00:00,0.5347012
2024-06-27 00:00:00,0.5474969
2024-06-27 01:00:00,0.56603205
2024-06-27 02:00:00,0.5879429
2024-06-27 03:00:00,0.6085671
2024-06-27 04:00:00,0.62830687
2024-06-27 05:00:00,0.6439658
2024-06-27 06:00:00,0.6568812
2024-06-27 07:00:00,0.671276
2024-06-27 08:00:00,0.6881084
2024-06-27 09:00:00,0.70525944
2024-06-27 10:00:00,0.71961576
2024-06-27 11:00:00,0.7324527
2024-06-27 12:00:00,0.7488392
2024-06-27 13:00:00,0.7716903
2024-06-27 14:00:00,0.79610026
2024-06-27 15:00:00,0.82407093
2024-06-27 16:00:00,0.8518434
2024-06-27 17:00:00,0.8777468
2024-06-27 18:00:00,0.9002974
2024-06-27 19:00:00,0.92208064
2024-06-27 20:00:00,0.94408965
2024-06-27 21:00:00,0.96519274
2024-06-27 22:00:00,0.9831459
2024-06-27 23:00:00,0.99502814
2024-06-28 00:00:00,1.0042745
2024-06-28 01:00:00,1.0160538
2024-06-28 02:00:00,1.0334744
2024-06-28 03:00:00,1.0521951
2024-06-28 04:00:00,1.0710992
2024-06-28 05:00:00,1.0869501
2024-06-28 06:00:00,1.099961
2024-06-28 07:00:00,1.1136289
2024-06-28 08:00:00,1.1300299
2024-06-28 09:00:00,1.1471146
2024-06-28 10:00:00,1.1618209
2024-06-28 11:00:00,1.1708813
2024-06-28 12:00:00,1.1765202
2024-06-28 13:00:00,1.1873208
2024-06-28 14:00:00,1.2021077
2024-06-28 15:00:00,1.2189084
2024-06-28 16:00:00,1.2377436
2024-06-28 17:00:00,1.2539282
2024-06-28 18:00:00,1.2660369
2024-06-28 19:00:00,1.2777826
2024-06-28 20:00:00,1.2917147
2024-06-28 21:00:00,1.3046255
2024-06-28 22:00:00,1.3119602
2024-06-28 23:00:00,1.3154507
2024-06-29 00:00:00,1.3148164
2024-06-29 01:00:00,1.3123507
2024-06-29 02:00:00,1.3105109
2024-06-29 03:00:00,1.3157779
2024-06-29 04:00:00,1.3234389
2024-06-29 05:00:00,1.33137
2024-06-29 06:00:00,1.3371722
2024-06-29 07:00:00,1.340506
2024-06-29 08:00:00,1.3458176
2024-06-29 09:00:00,1.3543332
2024-06-29 10:00:00,1.3631636
2024-06-29 11:00:00,1.3717439
2024-06-29 12:00:00,1.3760785
2024-06-29 13:00:00,1.3778538
2024-06-29 14:00:00,1.382516
2024-06-29 15:00:00,1.390776
2024-06-29 16:00:00,1.4005067
2024-06-29 17:00:00,1.4105439
2024-06-29 18:00:00,1.41805
2024-06-29 19:00:00,1.4218067
2024-06-29 20:00:00,1.4260495
2024-06-29 21:00:00,1.4333166
2024-06-29 22:00:00,1.4418464
2024-06-29 23:00:00,1.447637
2024-06-30 00:00:00,1.448695
2024-06-30 01:00:00,1.4464008
2024-06-30 02:00:00,1.4425145
2024-06-30 03:00:00,1.4421592
2024-06-30 04:00:00,1.4459058
2024-06-30 05:00:00,1.45022
2024-06-30 06:00:00,1.4539843
2024-06-30 07:00:00,1.4571968
2024-06-30 08:00:00,1.459126
2024-06-30 09:00:00,1.4619098
2024-06-30 10:00:00,1.4683526
2024-06-30 11:00:00,1.4768903
2024-06-30 12:00:00,1.4842052
2024-06-30 13:00:00,1.4881729
2024-06-30 14:00:00,1.4892168
2024-06-30 15:00:00,1.4917475
2024-06-30 16:00:00,1.4977974
2024-06-30 17:00:00,1.5049187
2024-06-30 18:00:00,1.51047
2024-06-30 19:00:00,1.5136577
2024-06-30 20:00:00,1.5136794
2024-06-30 21:00:00,1.5144616
2024-06-30 22:00:00,1.5178035
2024-06-30 23:00:00,1.5229232
2024-07-01 00:00:00,1.5260112
2024-07-01 01:00:00,1.5256996
2024-07-01 02:00:00,1.5217421
2024-07-01 03:00:00,1.515767
2024-07-01 04:00:00,1.5117654
2024-07-01 05:00:00,1.5112044
2024-07-01 06:00:00,1.5127804
2024-07-01 07:00:00,1.5148845
2024-07-01 08:00:00,1.5157447
2024-07-01 09:00:00,1.5142401
2024-07-01 10:00:00,1.5135998
2024-07-01 11:00:00,1.5168407
2024-07-01 12:00:00,1.5227296
2024-07-01 13:00:00,1.5283288
2024-07-01 14:00:00,1.530915
2024-07-01 15:00:00,1.530083
2024-07-01 16:00:00,1.5281571
2024-07-01 17:00:00,1.5287266
2024-07-01 18:00:00,1.5316349
2024-07-01 19:00:00,1.5345926
2024-07-01 20:00:00,1.5351622
2024-07-01 21:00:00,1.532089
2024-07-01 22:00:00,1.5279986
2024-07-01 23:00:00,1.5252132
2024-07-02 00:00:00,1.5244186
